phone_number,filter_reason,confidence
+10000000000,suspicious_pattern,95%
+10000000003,suspicious_pattern,95%
+10000019714,suspicious_pattern,95%
+10000019844,suspicious_pattern,95%
+10000019872,suspicious_pattern,95%
+10000061460,suspicious_pattern,95%
+10033600001,suspicious_pattern,95%
+11000000000,suspicious_pattern,95%
+11015000000,suspicious_pattern,95%
+11119360830,suspicious_pattern,95%
+12100000000,suspicious_pattern,95%
+12122282802,suspicious_pattern,95%
+12125821222,suspicious_pattern,95%
+12126666666,suspicious_pattern,95%
+12127777477,suspicious_pattern,95%
+12129872222,suspicious_pattern,95%
+12170000000,suspicious_pattern,95%
+12222222222,suspicious_pattern,95%
+13133736733,suspicious_pattern,95%
+13474441440,suspicious_pattern,95%
+14157444444,suspicious_pattern,95%
+16466646697,suspicious_pattern,95%
+16675777877,suspicious_pattern,95%
+17000000011,suspicious_pattern,95%
+17170000007,suspicious_pattern,95%
+17170000008,suspicious_pattern,95%
+17180000000,suspicious_pattern,95%
+17184888886,suspicious_pattern,95%
+17187687777,suspicious_pattern,95%
+18000000000,suspicious_pattern,95%
+18188893688,suspicious_pattern,95%
+18282226225,suspicious_pattern,95%
+18333337236,suspicious_pattern,95%
+18333376733,suspicious_pattern,95%
+18666062266,suspicious_pattern,95%
+18666666666,suspicious_pattern,95%
+18884383808,suspicious_pattern,95%
+18885808988,suspicious_pattern,95%
+18886936888,suspicious_pattern,95%
+18888378818,suspicious_pattern,95%
+18888884532,suspicious_pattern,95%
+18888887020,suspicious_pattern,95%
+19770000000,suspicious_pattern,95%
+19990000000,suspicious_pattern,95%
